23555-250.0:23556-16000:23557-300000,17.37
23555-500.0:23556-16000:23557-300000,16.15
23555-750.0:23556-16000:23557-300000,15.23
23555-1000.0:23556-16000:23557-300000,17.94
23555-1500.0:23556-16000:23557-300000,13.55
23555-2500.0:23556-16000:23557-300000,12.18
23555-5000.0:23556-16000:23557-300000,10.83
23555-100.0:23556-16000:23557-500000,22.86
23555-150.0:23556-16000:23557-500000,22.1
23555-250.0:23556-16000:23557-500000,19.04
23555-750.0:23556-16000:23557-500000,16.9
23555-1000.0:23556-16000:23557-500000,28.52
23555-2500.0:23556-16000:23557-500000,13.84
23555-5000.0:23556-16000:23557-500000,12.16
23555-100.0:23556-16000:23557-100000,21.86
23555-150.0:23556-16000:23557-100000,18.6
23555-250.0:23556-16000:23557-100000,15.54
23555-500.0:23556-16000:23557-100000,14.32
23555-750.0:23556-16000:23557-100000,13.4
23555-1500.0:23556-16000:23557-100000,11.72
23555-100.0:23556-16000:23557-300000,26.8
23555-500.0:23556-16000:23557-300000,16.4
23555-750.0:23556-16000:23557-300000,19.17
23555-2500.0:23556-16000:23557-300000,12.43
23555-5000.0:23556-16000:23557-300000,13.1
23555-100.0:23556-16000:23557-500000,23.11
23555-150.0:23556-16000:23557-500000,22.35
23555-250.0:23556-16000:23557-500000,23.57
23555-750.0:23556-16000:23557-500000,17.15
23555-1000.0:23556-16000:23557-500000,16.39
23555-1500.0:23556-16000:23557-500000,15.47
23555-100.0:23556-20000:23557-100000,20.31
23555-500.0:23556-20000:23557-100000,14.95
23555-5000.0:23556-20000:23557-100000,10.83
23555-250.0:23556-20000:23557-300000,18.33
23555-1000.0:23556-20000:23557-300000,28.47
23555-5000.0:23556-20000:23557-300000,11.02
23555-100.0:23556-20000:23557-500000,24.06
23555-150.0:23556-20000:23557-500000,23.25
23555-250.0:23556-20000:23557-500000,20.0
23555-500.0:23556-20000:23557-500000,33.72
23555-1000.0:23556-20000:23557-500000,20.56
23555-1500.0:23556-20000:23557-500000,19.32
